publication_date,title,conclusions
2017-08-22T00:00:00Z,Ecological stoichiometry of the honeybee: Pollen diversity and adequate species composition are needed to mitigate limitations imposed on the growth and development of bees by pollen quality,"['\nThe feeding strategy of a pollen eater contrasts with the strategies of other herbivores due to the exceptional nutritional richness of pollen.\nParticular honeybee castes and sexes differ in stoichiometry and need to incorporate various proportions of elements during development; therefore, different castes and sexes experience different stoichiometric mismatches and must be provided with appropriate and balanced combinations of nutrients in their food.\nThe nutritional elements that limit honeybee development to the highest degree due to their scarcity in pollen are Na, S, Cu, P and K. Zn and N were determined to be possibly limiting for bees.\nNot all plants produce pollen that satisfies the nutritional requirements of bees with respect to the required proportions of elements. Pollen eaters may not be able to stoichiometrically balance their diets without access to pollen species that are rich in limiting elements. Floral diversity may allow all of the necessary nutritional elements to be gathered in the appropriate proportions. Thus, a diverse flora is needed for bee development.\nParticular plant species that satisfy the nutritional requirements of bees may play greater roles than other species in stoichiometrically balancing the diets of pollen eaters. These taxa should be promoted in intervention strategies aimed at improving the nutritional base for pollen eaters, regardless of the amounts of nectar and pollen produced. We propose clover as such a stoichiometrically balanced taxon for bees.\nSingle-species crop plantations might limit bee development even if the crops are rich in nectar and pollen. Sunflower may negatively affect bees’ growth and development because of the scarcity of P in its pollen.\nThere is a need for data that allow the comparison of taxonomic, environmental, and soil nutritional status factors that may influence the elemental composition and stoichiometry of pollen.\n']"
2017-10-23T00:00:00Z,"Successful selection of rainbow trout (Oncorhynchus mykiss) on their ability to grow with a diet completely devoid of fishmeal and fish oil, and correlated changes in nutritional traits","['The results obtained for the third generation rainbow trout selected for their growth on a V diet confirm that selection has successfully improved both the mean body weight and survival of the selected versus control fish fed the V diet. SY-V fish now reach the same final body weight as control fish fed the M diet.In the present study, we were able to attribute the better growth performance of the selected line to a higher feed intake. This result confirms that acceptance of a plant-based diet, one of the major steps impeding the total replacement of marine ingredients, can be improved by selection [26]. The reluctance of fish to eat plant-diets remains poorly understood. Hence, the potential to lower sensitivity to plant-diet components through selection, leading to higher feed intake, requires further investigation. The two lines used in this study are a good models to work on.Aside from feed intake, the selection had a limited effect on other nutritional traits in comparison with the diet effect. But the effect of the selection will increase with generations of selection, while the dietary effect should remain stable. It is therefore essential to carefully monitor its consequences such as the EPA/DHA biosynthesis capacity, but also its consequences on traits which were affected by the selection only when fish were fed the M diet (protein retention and starch digestibility).Finally, the feed intake of the selected line was improved similarly when fish were fed the M or the V diets. Our study did not allow us to identify a specific nutritional trait that was significantly improved when fish were fed the V diet only, which could explain the higher genetic gain recorded for those fish. Other traits such as the immune parameters or the microbiota should also be explored in future generations as they are also known to influence the performance of fish fed a plant-based diet.']"
2016-08-09T00:00:00Z,Environmental Life Cycle Assessment of Diets with Improved Omega-3 Fatty Acid Profiles,"['We analysed the potential of two strategies for improving nutritional and environmental characteristics of French diets: 1) modifying diets by changing the quantities and proportions of foods and 2) increasing omega-3 contents in diets by replacing certain foods with equivalent foods with higher omega-3 contents while maintaining the same quantities and proportions of foods. We assessed environmental impacts of these strategies and investigated options which could further reduce environmental impacts from an LCA perceptive.The Vegetarian diet had lower environmental impacts than the PNNS diet, which had lower environmental impacts than the current Average diet. Increasing omega-3 contents of the diets by including foods higher in omega-3 did not influence the diets’ environmental impacts. Such substitutions, however, can provide healthier diets without increasing environmental impacts or pressure on fish stocks. Animal foods dominated the environmental impacts of waste in the average current diet.']"
2017-04-06T00:00:00Z,Higher fish but lower micronutrient intakes: Temporal changes in fish consumption from capture fisheries and aquaculture in Bangladesh,"['The valuable role of aquaculture in Bangladesh in securing the availability and affordability of fish is unquestionable. If growth in this sector had not occurred, declines in nutrient intakes described here would undoubtedly be much more severe, with far more serious implications for nutrition and health. However, the results presented here highlight unintended negative consequences of policy decisions and agricultural investments which are narrowly focused on maximising production and productivity. In doing so, our results challenge the dominant rhetoric that increases in food supply automatically lead to improvements in diet and nutrition. These findings are of significance to many countries experiencing rapid growth in aquaculture alongside declining quantity and diversity of species from capture fisheries. In this light, whilst the findings are specific to Bangladesh, it is possible that this decline of nutritional quality linked to a shift towards greater farmed fish consumption, is occurring on a global scale. As aquaculture becomes an increasingly important food source for many, it must embrace a nutrition-sensitive approach, by considering how changes in food supply affect nutritional quality of diets. To do so requires greater knowledge of the nutritional value of indigenous foods at species/varietal level, and the contributions these foods make in terms of nutrient intakes and dietary patterns, specific to age and sex groups, as well as to differences in rural/urban locations and geographic regions. Indicators used in the monitoring and evaluation of agricultural interventions must go beyond production and productivity, to also include nutritional quality. If the intrinsically linked issues of poverty, food insecurity and malnutrition are to be truly addressed; and for the SDGs to be achieved, agricultural policies must integrate strategies to mitigate trade-offs across multiple sectors, including (but not limited to) nutrition and health.']"
2013-12-03T00:00:00Z,"Diet-Induced Over-Expression of Flightless-I Protein and Its Relation to Flightlessness in Mediterranean Fruit Fly, Ceratitis capitata","['This study showed effects of nutritional deficiency on over-expression of fli-I and medfly flightlessness. The adult medflies emerged from pupae whose larvae were reared on a fatty acid deficient liquid diet looked normal, but could not fly, whereas the control flies emerged from pupae whose larvae were reared on the standard mill feed diet looked normal and had normal flight ability. The two groups of larvae showed large differential differences of protein profiles. In comparison, fli-I, LRR-containing G protein-coupled receptor 2, LRR protein soc-2 and protein wings apart-like were over-expressed in pupae from larvae fed with the fatty acid deficient liquid diet. The results signify that nutritional deficiency induces fli-I over-expression in medfly. Fli-I over-expression may depress the Wnt signaling, as indicated by under-expression of several Wnt pathway proteins, and thus cause flightlessness. As the fli-I gene is highly conserved across life forms from insects to humans and SMS is due to an abnormality in the short (p) arm of chromosome 17 where fli-I gene is located, we would postulate that nutritional deficiency might be associated with human SMS.']"
2019-04-09T00:00:00Z,"Bioprocessed poultry by-product meals on growth, gut health and fatty acid synthesis of juvenile barramundi, Lates calcarifer (Bloch)","['The results obtained in this study demonstrated that 75% FM replacement diets (both bioprocessed and unprocessed PBM) did not impair growth performance, gut morphology and liver health of juvenile barramundi. The nutritional quality indices of the fish muscle (IA, IT and HH) were improved with bioprocessed PBM diets compared to unprocessed PBM diets. These results may indicate that consumption of fish cultured in bioprocessed diets, and hence with different fatty acid profiles, may generate some human health benefits, potentially relating to reducing the risks of cardiovascular disease. However, further work, including clinical trials, would be required to fully determine a human health outcome.']"
2016-03-14T00:00:00Z,Food Value of Mealworm Grown on Acrocomia aculeata Pulp Flour,"['Results from this study indicate that artificial diets with added bocaiuva pulp flour could be a new source of biomass for rearing Tenebrio molitor. Artificial diets with fat content below 29% favored the development of T. molitor beetles. T. molitor larvae reared on artificial diet with added bocaiuva are good sources of protein and lipid, have significant concentrations of unsaturated fatty acids, antioxidant activity and absence of anti-nutritional factors. Larvae reared on diets with added bocaiuva pulp flour can be a highly nutritious food resource for food security and for use in protein supplements for athletes and people interested in increasing protein intake.']"
2014-05-07T00:00:00Z,Sugar Sweetened Beverages and Weight Gain over 4 Years in a Thai National Cohort – A Prospective Analysis,"[""Sugar consumption, particularly in SSBs, is now considered to be a major health threat comparable to smoking [38] and evidence suggests that removing SSBs from diets will have a positive impact on weight over time. They increasingly are a target for health promotion because they have no redeeming nutritional benefits and can be eliminated from the diet without ill effects. Within our Thai cohort we will continue to monitor SSB consumption and links with diabetes, metabolic syndrome and dental health and we will increase the precision of our capture of SSBs; we note the desirability of other longitudinal studies doing the same. As a key ‘transitional’ consumable, further study of the economic and socio-cultural trends related to SSB consumption in Thailand will help illuminate the country's health and nutrition transition.""]"
2019-08-26T00:00:00Z,Degree of exposure to interventions influences maternal and child dietary practices: Evidence from a large-scale multisectoral nutrition program,"['The findings of this study will have important implications on future implementation of SII and other similar large-scale nutrition programs. There needs to be a strong focus on strengthening the quality and reach of individual intervention platforms, specifically FLW interactions and community events, given the demonstrated strong individual associations with dietary outcomes. Finally, the effectiveness of the combinations of platforms suggested by the increasing association of exposure with positive diet outcomes highlight the need for nutrition programs and government policies to adopt a multi-platform model to have the highest potential for reach and positive impact on maternal and child nutrition practices.']"
2019-06-10T00:00:00Z,"Risk factors of stunting (chronic undernutrition) of children aged 6 to 24 months in Mekelle City, Tigray Region, North Ethiopia: An unmatched case-control study","['The factors associated with stunting among children aged 6 to 24 months are no formal education in mother, mother height less than 150cm, low BMI of the mother, low birth weight, low WHO DDS, number of under 5 children in the household and repeated diarrheal episodes. Nutritional interventions should give emphasis to maternal education, maternal nutrition, childbirth weight, family size, diet diversity, and diarrheal diseases.']"
2015-12-23T00:00:00Z,"Feed Conversion, Survival and Development, and Composition of Four Insect Species on Diets Composed of Food By-Products","['This study shows that 1) insects can be produced on diets composed of food by-products, 2) Argentinean cockroaches and black soldier flies use feed more efficiently than yellow mealworms and house crickets, 3) yellow mealworms and house crickets were equally efficient in converting feed to edible body mass as poultry, 4) on suitable diets the insects utilized protein more efficiently than conventional production animals, and 5) the composition of insect species can be altered through their diet.Further studies should focus on finding optimised combinations of insect species and diet composition, in order to efficiently produce insects that meet the nutritional requirements of humans and other animals.']"
2019-06-17T00:00:00Z,Reproducibility and relative validity of a food frequency questionnaire to assess dietary intake of adults living in a Mediterranean country,"['The Mediterranean dietary pattern is very well documented and has shown high nutritional quality and beneficial health outcomes. Many health promotion strategies nowadays are drawing attention to the Mediterranean diet and these initiatives need a valid tool to assess the nutritional intakes of a population.The objective of this study was to adapt a 157-item semi-quantitative FFQ already developed and validated on a population of Lebanese pregnant women, to assess its validity and reproducibility among the general adult Lebanese population [14]. The FFQ validated in this study showed good reproducibility and relative validity compared to three 24h DRs in a heterogeneous sample of adults living in a Mediterranean country.In conclusion, we offer a valid FFQ that could be helpful in estimating food groups and nutrient intakes and useful for the investigation of dietary risk factors and Non Communicable Diseases. This FFQ is also suitable for clinical trials including nutritional interventions promoting the Mediterranean diet. Future works could focus on developing and validating a computerized version of this FFQ in order to limit its administration time.']"
2019-05-16T00:00:00Z,Effect of partial substitution of rice with sorghum and inclusion of hydrolyzable tannins on digestibility and postprandial glycemia in adult dogs,"['The inclusion of tannins in canine diets did not affect the voluntary consumption of food by dogs. However, the presence of sorghum caused a reduction in the digestibility of DM, OM, CP, DE, and ME, and promoted greater fecal production. The fecal score was kept in good standard. There was a darkening of feces and urine of the dogs that received sorghum and HT in the diet, strongly indicating that there is metabolism and excretion of its constituents. The addition of HT reduced DM and water content in feces. Although the expected glycemic response results were not observed, sorghum-containing tannins may replace part of rice in canine diets. It brings some consequences like reducing ME content and digestible protein of the diets and may be used as an ingredient to reduce ME in diets restricted in energy, but the content of digestible protein must be compensated by other ingredients. Hydrolysable tannins seems like to potentialize CT effects, but more studies are needed to define what role HT may play on dogs nutrition.']"
2014-12-03T00:00:00Z,Nutritional Correlates of Koala Persistence in a Low-Density Population,"['This study showed that, with a careful experimental design, it is possible to make inferences about populations of herbivores that exist at extremely low densities and thus achieve a better understanding of how nutrition influences herbivore ecology and persistence. We identified a significant tradeoff between nutrients and toxins in the selection of individual trees at a small-spatial scale and found that available N was the key to understanding the selection of some trees. We argue that taxonomic and phenotypic diversity is likely to be important when foraging in habitats of low nutritional quality providing diet choice to tradeoff nutrients and toxins and minimise movement costs. Our findings support the assertion that immediate nutritional concerns are an important priority of folivores in low-quality habitats and imply that nutritional limitations play an important role in constraining folivore populations.']"
